index,archetype,complexity,time,resources,story,goal,steps,what_to_say,how_to_identify,comm_intervention,gap_analysis,admin_fix,confidence
160,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 160 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
161,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 161 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
162,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 162 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
163,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 163 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
164,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 164 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
165,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 165 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
167,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 167 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
168,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 168 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
169,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 169 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
170,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 170 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
172,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 172 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
173,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 173 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
174,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 174 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
175,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 175 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
176,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 176 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
177,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 177 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
178,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 178 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
179,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 179 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
180,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 180 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
181,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 181 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
182,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 182 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
183,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 183 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
184,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 184 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
185,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 185 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
186,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 186 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
187,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 187 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
188,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 188 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
189,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 189 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
190,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 190 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
199,Solver,High,12+ Weeks,"NHAI Contact, JDA Map, Zonal SI Contact","Lakshay identified a massive garbage spot near Pathankot Chowk. He realized this was ""No Man's Land""—between the Municipal Corporation and the NHAI. He successfully coordinated between both departments, secured a JCB for 2 hours, and removed 20 tonnes of legacy waste.",Coordinate between NHAI and Municipal Corporation for a large-scale highway-side blackspot fix.,1. The Boundary Audit: Check the 'Service Lane' boundary markers. Ask the local Electricity Board SDO: 'Who maintains this specific meter wall?' 2. The SI-NHAI Sync: Meeting with the Sanitary Inspector (SI) specifically for an NHAI-Zonal NOC. 3. The JCB Request: Request a 'Double-Bucket JCB' from the MC for 3 hours of operation. 4. Post-Clean Guard: Install NHAI-standard fencing or highway-side planters to prevent re-dumping.,"To the NHAI Nodal Officer: 'Sir, garbage dumping on the [Chainage No.] service lane is hazardous to traffic. We have the SI's support to clean it. We request a No-Objection to install temporary fencing/planters here.'","To find the **Nodal Highway Authority**, look for the yellow-and-white 'Mile Stones' on the highway; they usually have the Project Director's contact painted on the base of overpasses.",Yes,Recipe: Multi-Department NOC Template; Standard: NHAI Service Lane Maintenance Guidelines.,5,
222,Solver,Medium,4-8 Weeks,"Mayor Office Address, Street Light ID, Follow-Up Log","After the Pathankot Chowk cleanup, the area was still dangerous because of non-functional street lights. These students didn't wait for the city to notice; they visited the Mayor's office with a ""Status Report"" video and secured immediate lighting repairs.",Ensure lighting infrastructure is restored following a blackspot cleanup to maintain safety.,"1. The Night Proof: Record a 30-second video at 8 PM showing the dark, unsafe cleaned spot. 2. The Mayor's Nudge: Visit the Mayor's office and ask for the 'Personal Assistant (PA) for Infrastructure'. 3. File Tracking: Get the 'File Number' for the street-light repair order. 4. Community Awareness: Tag the local news handle in your 'Before & After' post to maintain public accountability.","To the Mayor's PA: 'Ma'am, we have cleared 20 tonnes of waste at [Location], but it is now a dark-spot for crime at night. We need the 3 non-functional lights (Poll IDs [X,Y,Z]) fixed to protect the cleanup results.'","The **Mayor's Office** is typically open for public 'Janta Darbars' on specific weekdays (e.g., Tuesday mornings). Check the Municipal portal for 'Grievance Meet' hours.",No,Recipe: The Post-Cleanup Safety Audit; Standard: National Street Lighting Standards.,5,
191,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 191 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
192,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 192 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
193,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 193 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
194,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 194 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
195,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 195 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
196,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 196 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
197,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 197 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
198,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 198 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
200,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 200 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
201,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 201 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
202,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 202 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
203,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 203 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
204,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 204 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
205,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 205 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
206,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 206 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
207,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 207 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
208,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 208 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
209,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 209 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
210,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 210 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
211,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 211 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
212,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 212 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
213,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 213 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
214,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 214 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
215,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 215 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
216,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 216 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
217,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 217 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
218,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 218 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
219,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 219 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
220,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 220 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
221,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 221 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
223,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 223 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
224,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 224 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
225,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 225 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
226,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 226 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
227,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 227 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
228,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 228 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
229,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 229 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
230,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 230 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
231,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 231 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
232,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 232 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
233,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 233 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
234,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 234 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
235,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 235 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
236,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 236 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
237,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 237 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
238,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 238 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
239,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 239 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
240,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 240 focusing on Jalandhar-specific institutional follow-ups.,To ensure 100% action completion through systemic reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
244,Solver,Medium,4-8 Weeks,"Punjab Solve Squad WhatsApp, Moga Bus Stand Map, NSS Volunteer List","After Jalandhar, Lakshay expanded to Moga. He didn't just host a session; he built a ""Travel Temp"" group to manage 20+ Ninjas traveling on the 7:43 AM Jalandhar bus. He taught the team that the success of a civic session depends as much on ""Bus Timing"" as it does on ""Problem Solving.""",Host a successful regional Solver Jam in a new city (Moga) with 30+ participants.,"1. The Outreach Poll: Use a WhatsApp poll to finalize a date based on 'Volunteer availability.' 2. The Venue Search: Look for public auditoriums (e.g., Dhaliwal Bhawan) near the Bus Stand to minimize travel friction. 3. The Travel Coordination: Create a 'Temporary Travel Group' to sync bus timings and meetup points. 4. The Workshop Hook: Use the 'Think like an AI' format to solve Moga-specific issues (Street Audits/Water Data).",To a student in Moga: 'We are bringing the Solver Jam to your city. We meet at 7:15 AM at the Jalandhar Bus Stand. Wear your high-vis gear; we are going to audit the Moga Main Road today.',"To find the best venue in Moga, look for **Shaheed Comrade Nachhattar Singh Dhaliwal Bhawan**—it's the most student-friendly space near the ISBT.",Yes,Recipe: Regional Travel Logistics Planner; Standard: NSS Volunteer Engagement Guidelines.,5,
260,Solver,Medium,2-4 Weeks,"AI Image Tools (DALL·E), Peer Feedback Forms","In the ""Capturing Your Story"" week, students realized that photos aren't enough to show impact—imagination is. They used AI to ""Visualize the Invisible,"" creating images of what their streets will look like when the blackspots are 100% gone, using these to pitch to the Mayor.","Create a ""Future Vision"" pitch deck using AI-generated visualizations for a municipal project.","1. The Prompt Challenge: Use DALL·E to generate an image: 'A clean, green street corner with flower beds in Jalandhar.' 2. The Contrast: Place this image next to a photo of the current garbage spot. 3. The Pitch: Take this 'Before vs. After' to the Zonal SI. 4. Peer Review: Use the 'Peer Master Class' to get 10 students to critique your prompt and image.","To the Official: 'Sir, here is a photo of the waste today, and here is what this corner could look like as a plantation zone. We have the community ready to help. Can we make this vision a reality?'","To learn high-quality prompting, check the **IndiaAI 'Prompt Engineering 101'** resources for government use-cases.",No,Recipe: The AI-Vision Pitch Deck Template; Standard: UN SDG 11 - Sustainable Cities.,5,
241,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 241 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
242,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 242 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
243,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 243 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
245,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 245 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
246,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 246 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
247,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 247 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
248,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 248 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
249,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 249 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
250,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 250 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
251,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 251 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
252,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 252 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
253,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 253 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
254,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 254 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
255,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 255 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
256,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 256 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
257,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 257 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
258,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 258 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
259,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 259 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
261,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 261 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
262,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 262 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
